Id,M,Category,Shift,a_A1,a_A2,a_A3,a_A4,a_B1,a_B2,a_B3,a_B4,a_B5,a_B6,a_B7,a_C1,a_C2,a_C3,a_C4,a_D1,a_D2,a_D3,a_D4,b_C1,b_C2,b_C3,b_C4,LT_A,LT_AA,LT_B,LT_C,LT_D,LT_FA,LT_Plant,LeanBuffer,Out,WIP_A,WIP_AA,WIP_B,WIP_C,WIP_D,WIP_FA,WaitingParts,maxOut,minLT_Plant,minLeanBuffer,minWaitingParts,max_Out,min_LB,min_LTPlant,min_WaitingParts
15825,false,Cluster_4,1.0,5.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,1376.0,576.0,128.0,32.0,23.09784081,5.135806293,21.65575975,18.71245372,23.05465067,13.37102638,41.75925341,7780.0,38403.5,1495.25,89.75,1555.5,1572.5,2353.5,713.5,432578.5,38403.5,41.8,7780.0,120.2,38403.5,7780.0,41.8,120.2
15858,false,Cluster_2,3.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,15.0,1.0,1.0,2.0,5.0,20.0,1.0,3.0,1.0,1.0,1.0,1376.0,576.0,32.0,32.0,16.31365816,4.963053212,17.41688297,14.70982598,22.07331882,13.39639668,40.43276871,8538.5,37807.25,1387.5,137.0,1833.5,1471.25,2616.5,1092.75,176387.75,37807.25,40.4,8538.5,49.0,37807.25,8538.5,40.4,49.0
15864,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,14.0,1.0,2.0,6.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,1408.0,896.0,32.0,32.0,9.144721144,2.856296194,11.45449332,14.36225152,17.62805213,16.05909617,36.5434445,9429.25,39600.0,1343.75,185.0,1786.5,1427.25,2398.5,2288.25,138803.25,39600.0,36.5,9429.25,38.6,39600.0,9429.25,36.5,38.6
15873,false,Cluster_1,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1088.0,864.0,64.0,32.0,8.443577538,3.173373759,11.14322316,14.28899723,16.70083535,15.89804479,35.7722539,9206.0,39510.75,1331.0,180.5,1781.0,1419.75,2508.75,1985.0,105062.25,39510.75,35.8,9206.0,29.2,39510.75,9206.0,35.8,29.2
15893,false,Cluster_2,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,19.0,1.0,3.0,1.0,3.0,1.0,1376.0,1056.0,32.0,32.0,14.7971244,6.168142099,16.38748201,18.52380285,21.1867803,15.80099435,43.15591676,8668.25,39105.0,1118.25,256.0,1819.75,1680.75,2455.0,1338.5,82804.5,39105.0,43.2,8668.25,23.0,39105.0,8668.25,43.2,23.0
15899,false,Cluster_1,3.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,1.0,5.0,7.0,1.0,1.0,960.0,704.0,96.0,32.0,14.02254118,5.287272331,15.64556813,15.79667334,20.99394271,19.18626273,45.46747777,9314.5,39576.0,1243.25,141.0,1836.5,1756.0,2310.75,2027.0,64757.0,39576.0,45.5,9314.5,18.0,39576.0,9314.5,45.5,18.0
15934,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,1120.0,608.0,32.0,32.0,9.029940232,3.198498779,11.4154853,10.45272036,17.67378634,14.79135071,35.66363583,8601.5,38842.5,1353.25,205.5,1788.5,1173.5,2381.75,1699.0,324080.5,38842.5,35.7,8601.5,90.0,38842.5,8601.5,35.7,90.0
15962,false,Cluster_1,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,16.0,1.0,19.0,7.0,3.0,1.0,1408.0,704.0,64.0,32.0,8.810529844,2.821134863,11.23705644,16.26982635,19.37685689,18.73204954,40.93004129,10167.75,39600.0,1373.25,80.5,1800.25,1780.25,2315.0,2818.5,19156.0,39600.0,40.9,10167.75,5.3,39600.0,10167.75,40.9,5.3
15967,false,Cluster_6,4.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1504.0,224.0,32.0,32.0,12.54826375,2.49734735,14.33163633,11.59082738,20.12005759,15.12496164,37.74236658,7966.0,35150.5,1499.75,104.5,1821.75,1064.5,2373.5,1102.0,662128.5,35150.5,37.7,7966.0,183.9,35150.5,7966.0,37.7,183.9
15973,false,Cluster_1,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,15.0,1.0,2.0,2.0,1.0,18.0,1.0,3.0,1.0,1.0,1.0,1088.0,896.0,64.0,32.0,9.091873737,2.946657351,11.56399064,14.54473821,17.03894863,15.5527798,35.53838577,9281.5,39531.5,1323.5,187.0,1778.5,1487.25,2507.5,1997.75,133545.75,39531.5,35.5,9281.5,37.1,39531.5,9281.5,35.5,37.1
