Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
223;79.752;2561.729492;23037.76563;30.74045301;489;87;90;98;0.366117492;-0.251004819;-0.493127537;-0.311811341;0.2302196;-0.432508974;0.370821533;0.256089133;-0.224999002;2.497584933;0.155288105;0.080119682;-1.562214145;0.016759345;-0.129101943;-2.087138653;-0.087198671;79.752;2561.729492;23037.76563;30.74045301;0;1;0
226;115.896;841.1453247;24618.58203;30.50467911;318;100;13;90;0.397360918;-0.295576942;-0.497571752;-0.323421958;0.240862494;-0.424407393;0.370819923;0.257719678;-0.225033398;2.496890446;0.149827585;0.189499807;-1.565717752;0.017263827;-0.325460732;-0.430582929;-0.113471605;115.896;841.1453247;24618.58203;30.50467911;0;1;0
229;122.616;733.824585;23511.4375;30.50881776;268;100;17;99;0.39730707;-0.299904061;-0.497551715;-0.323421958;0.240862494;-0.424380347;0.370819923;0.257343851;-0.22503469;2.497403184;0.149827585;0.189860537;-1.565717752;0.017265837;-0.325460732;-1.535179502;-0.120355677;122.616;733.824585;23511.4375;30.50881776;0;1;0
230;111.888;796.1000977;23895.12891;30.50896303;308;100;17;99;0.397360918;-0.299904061;-0.497551715;-0.323421958;0.240862494;-0.424407393;0.370819923;0.267838834;-0.22503469;2.497365374;0.149827585;0.189499807;-1.565717752;0.017265837;-0.325460732;-1.515470574;-0.120355677;111.888;796.1000977;23895.12891;30.50896303;0;1;0
236;103.272;931.2373657;22842.5332;33.19254185;314;100;19;97;0.26258608;-0.291086327;-0.419485775;-0.274730141;0.277913883;-0.371154295;0.375213309;0.205745513;-0.24057989;2.49938436;0.156111241;0.156701391;-1.575372834;-0.103640664;-0.134087475;-2.118010082;0.397498059;103.272;931.2373657;22842.5332;33.19254185;0;1;0
239;62.112;4077.152344;27967.39844;30.49236911;999;100;85;92;0.350140598;-0.267229565;-0.497361557;-0.31260237;0.283783078;-0.440870135;0.368058003;0.257485448;-0.223270449;2.498245975;0.149614454;0.186837706;-1.567733813;0.004041913;-0.41515239;-2.00049275;0.745023107;62.112;4077.152344;27967.39844;30.49236911;0;1;0
244;59.4;5151.158203;28465.68164;32.92969566;939;100;100;99;0.368752908;-0.182063113;0.00255138;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.199985155;1.03886654;-0.127950624;-0.043805683;0.089641953;-0.144738872;0.006603892;-0.563520003;-0.783735439;59.4;5151.158203;28465.68164;32.92969566;0;1;0
245;103.248;1075.953735;22512.59375;30.64696443;314;100;29;100;0.344838421;-0.247020518;-0.496199478;-0.295712323;0.277473252;-0.443537084;0.367991959;0.249104375;-0.254106127;2.497302698;0.154652645;0.110995237;-1.571438047;0.012351156;-0.16511171;-1.778632647;0.713180704;103.248;1075.953735;22512.59375;30.64696443;0;1;0
246;120.744;853.3674927;20284.46094;33.60207273;223;99;17;81;0.396249535;-0.2925013;-0.023148749;-0.261485028;-0.372100732;0.192809866;0.476583702;0.22135555;0.193215677;1.026531436;-0.132652073;-0.041981317;0.108805692;-0.099711357;0.005227761;-0.610299038;-0.791633182;120.744;853.3674927;20284.46094;33.60207273;0;1;0
249;67.608;2879.452393;26531.3125;30.84396814;748;100;79;54;0.388540999;-0.289628092;-0.48511179;-0.307880872;0.241260479;-0.440870135;0.368057939;0.257622503;-0.213471321;2.498195903;0.149681826;0.066742044;-1.571386029;0.012351156;-0.0421647;-1.979638895;0.60197836;67.608;2879.452393;26531.3125;30.84396814;0;1;0
251;131.856;577.3712158;19532.08398;36.51442151;213;85;14;99;0.394740236;-0.295404826;-0.456705213;-0.195641703;0.374365163;0.047114044;0.4884256;0.485033265;0.155148933;1.026766182;-0.027718192;0.165332266;0.093487806;-0.099828745;0.004717819;-0.759529012;-0.788307894;131.856;577.3712158;19532.08398;36.51442151;0;1;0
252;69.504;2830.052246;23993.77539;32.61785439;692;98;39;97;0.389637603;-0.249335017;-0.420584849;-0.299456029;0.287220001;-0.371165829;0.371331619;0.261429802;-0.223231811;2.496954616;0.155110732;-0.23246895;-1.571607014;0.089833692;-0.063633555;-2.451446181;-0.677614755;69.504;2830.052246;23993.77539;32.61785439;0;1;0
255;76.944;2190.436035;22973.28711;33.02454387;447;100;30;76;0.368752908;-0.182063113;0.00255138;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.109752751;1.03886654;-0.127950624;-0.038997997;0.089641953;-0.144738872;0.006603892;-0.563520003;-0.783735439;76.944;2190.436035;22973.28711;33.02454387;0;1;0
256;57.408;5557.250977;26880.0918;33.17486468;999;100;100;99;0.368752908;-0.182063113;0.046555498;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.199985155;1.03886654;-0.127950624;-0.038997997;0.089641953;-0.144738872;0.006603892;-0.563520003;-0.783735439;57.408;5557.250977;26880.0918;33.17486468;0;1;0
257;58.32;5164.007813;26014.44531;32.94763061;939;100;91;100;0.370313711;-0.22630442;0.004023436;-0.258403087;-0.491668848;0.104586905;0.476410446;0.499124956;0.199985155;1.04129667;-0.127950624;-0.038997997;0.089658368;-0.144738872;0.010487798;-0.563520003;-0.783735439;58.32;5164.007813;26014.44531;32.94763061;0;1;0
260;57.48;5635.785645;26315.30664;33.17486468;999;100;100;99;0.368752908;-0.182063113;0.046555498;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.199985155;1.03886654;-0.127950624;-0.038997997;0.089641953;-0.144738872;0.006603892;-0.563520003;-0.783735439;57.48;5635.785645;26315.30664;33.17486468;0;1;0
266;72.936;1969.466553;24027.97266;34.1768757;543;100;37;81;0.396153862;-0.281296187;-0.480912666;-0.48364269;0.376031747;-0.127532476;0.4884256;0.483374093;0.157533348;1.026766182;-0.092382817;0.165196159;0.093085184;-0.100585307;-0.008539907;-0.444382412;-0.783152711;72.936;1969.466553;24027.97266;34.1768757;0;1;0
271;75.072;2303.368408;23295.23633;30.85437165;518;100;79;52;0.388540999;-0.289400703;-0.48511179;-0.307880872;0.238526702;-0.440870135;0.368057939;0.257622503;-0.213471321;2.498195903;0.14968564;0.056421878;-1.571386029;0.012351156;-0.0421647;-2.104875922;0.60197836;75.072;2303.368408;23295.23633;30.85437165;0;1;0
277;81.792;1758.851929;24318.60156;30.42738464;460;100;30;100;0.200046696;-0.296313399;-0.497196334;-0.31260237;0.245749066;-0.426862665;0.368058003;0.257485448;-0.242671572;2.49723007;0.14967437;0.186837706;-1.567608217;0.012351156;-0.411680159;-2.105872524;-0.116280645;81.792;1758.851929;24318.60156;30.42738464;0;1;0
