Iteration;minWIP;minPayOff;maxTP;S1_ActiveNum;S3_ActiveNum;B1_Capacity;B3_Capacity;B4_Capacity;B5_Capacity;B2_Capacity;N2;M3;M6;PartsProduced;Throughput;LeadTime;WIP;TwoOld;OneNew;ParallelMCost;TwoSlow;ThreeSlow;TwoFast;NumBuffers;Replications;ConstraintViolation;Iteration;Rank;
81;125,67898211917;5,71193572728927;5,51666666666667;1;3;43;12;46;4;23;5;1;1;926,8;5,51666666666667;79049,9189895658;125,67898211917;1;0;500000;0;0;1;128;10;0;81;21;
82;90,7873289590468;6,25331808284019;5,26011904761905;1;3;45;14;3;21;19;6;1;1;883,7;5,26011904761905;61889,4535369404;90,7873289590468;1;0;500000;0;0;1;102;10;0;82;25;
83;152,399491159728;7,33594745895881;4,36607142857143;2;2;26;34;40;24;43;6;1;2;733,5;4,36607142857143;118851,931797104;152,399491159728;0;1;250000;0;1;0;167;10;0;83;35;
84;30,537200904361;7,1782054310543;2,56428571428572;1;1;3;18;27;1;20;2;2;2;430,8;2,56428571428572;42810,4230042303;30,537200904361;1;0;500000;1;0;0;69;10;0;84;35;
85;32,4757755526584;5,64989129355601;3,53333333333333;1;3;20;22;29;25;5;3;2;1;593,6;3,53333333333333;33148,6558520552;32,4757755526584;1;0;250000;0;0;1;101;10;0;85;22;
86;73,3157802015316;10,049174674044;2,52083333333333;1;1;43;36;46;42;23;2;1;1;423,5;2,52083333333333;103775,988888726;73,3157802015316;1;0;500000;1;0;0;190;10;0;86;50;
87;55,9788883917385;6,9480953893218;3,78630952380952;2;3;30;12;7;29;19;3;1;1;636,1;3,78630952380952;53125,1810673954;55,9788883917385;0;1;500000;0;0;1;97;10;0;87;30;
88;29,4766576311588;11,0552287481607;2,53571428571429;2;2;15;47;44;32;9;2;2;1;426;2,53571428571429;41824,9396175761;29,4766576311588;0;1;500000;0;1;0;147;10;0;88;47;
89;60,5572757903551;9,91012767207674;2,50535714285714;1;2;40;22;22;33;14;2;2;1;420,9;2,50535714285714;86838,7476930821;60,5572757903551;1;0;500000;0;1;0;131;10;0;89;51;
90;47,5160626674132;9,18613416978088;2,55892857142857;1;2;24;10;26;31;17;2;2;2;429,9;2,55892857142857;67219,4184261201;47,5160626674132;1;0;500000;0;1;0;108;10;0;90;39;
91;40,7512423118262;16,9199618369884;1,28095238095238;2;3;5;27;35;16;33;1;1;2;215,2;1,28095238095238;113315,802771586;40,7512423118262;0;1;500000;0;0;1;116;10;0;91;58;
92;53,052299287112;6,70376651579761;3,80416666666667;1;3;26;14;47;17;19;3;1;2;639,1;3,80416666666667;50036,2256379116;53,052299287112;1;0;500000;0;0;1;123;10;0;92;28;
93;81,2940320809751;8,55714336003824;2,70119047619048;1;1;2;45;3;30;21;6;2;2;453,8;2,70119047619048;105172,956668051;81,2940320809751;1;0;250000;1;0;0;101;10;0;93;38;
94;72,4840890031358;11,5928890294636;2,51190476190476;2;2;40;42;46;11;27;2;2;1;422;2,51190476190476;103098,545087457;72,4840890031358;0;1;500000;0;1;0;166;10;0;94;51;
95;60,7565159639126;18,1551462161761;1,27559523809524;2;3;20;15;37;32;38;1;2;1;214,3;1,27559523809524;163191,854416814;60,7565159639126;0;1;500000;0;0;1;142;10;0;95;60;
96;53,77069747251;18,6515821780602;1,27380952380952;2;3;30;49;3;49;21;1;2;2;214;1,27380952380952;148098,54545489;53,77069747251;0;1;500000;0;0;1;152;10;0;96;60;
97;49,5712308783383;10,1912758048352;2,54285714285714;1;2;3;46;12;49;40;2;2;1;427,2;2,54285714285714;70040,6920439487;49,5712308783383;1;0;500000;0;1;0;150;10;0;97;44;
98;28,7368403586731;8,27062386908;2,56488095238095;1;3;3;18;35;22;20;2;1;1;430,9;2,56488095238095;40282,5561544404;28,7368403586731;1;0;500000;0;0;1;98;10;0;98;36;
99;100,260854664227;8,19173870306453;3,12321428571428;1;1;28;34;29;1;2;4;2;2;524,7;3,12321428571428;108387,39405729;100,260854664227;1;0;500000;1;0;0;94;10;0;99;34;
100;67,3825112278757;5,21323310095683;4,15714285714286;2;3;20;20;8;4;39;3;2;1;698,4;4,15714285714286;58061,0174456036;67,3825112278757;0;1;250000;0;0;1;91;10;0;100;23;
101;102,346514222782;6,50641394348176;4,70357142857143;1;2;14;32;34;14;38;4;1;1;790,2;4,70357142857143;73899,4895103858;102,346514222782;1;0;500000;0;1;0;132;10;0;101;31;
102;28,7372643348858;7,37770901141954;2,56488095238095;1;3;3;18;16;1;20;2;2;2;430,9;2,56488095238095;40283,162284935;28,7372643348858;1;0;500000;0;0;1;58;10;0;102;34;
103;73,6676502921176;5,88034393620066;2,88630952380952;1;1;3;18;27;1;20;3;2;2;484,9;2,88630952380952;87629,939516949;73,6676502921176;1;0;250000;1;0;0;69;10;0;103;29;
104;45,5837735371794;8,22176635323164;3,80595238095238;2;2;14;46;36;35;23;3;1;1;639,4;3,80595238095238;42996,4434955564;45,5837735371794;0;1;500000;0;1;0;154;10;0;104;27;
105;49,7503077630518;19,3542174963312;1,28035714285714;2;3;8;32;45;46;39;1;1;1;215,1;1,28035714285714;135729,195445988;49,7503077630518;0;1;500000;0;0;1;170;10;0;105;59;
106;23,4689965113653;9,97863833223937;2,49821428571429;2;2;16;10;45;20;2;2;1;1;419,7;2,49821428571429;33762,7189454389;23,4689965113653;0;1;500000;0;1;0;93;10;0;106;49;
107;75,7839644631684;9,65262133747474;2,52380952380952;1;3;24;41;26;16;46;2;2;2;424;2,52380952380952;106540,022084774;75,7839644631684;1;0;500000;0;0;1;153;10;0;107;48;
108;56,089902149125;8,33685593802797;3,82142857142857;2;2;8;46;36;35;39;3;1;1;642;3,82142857142857;53018,1601050508;56,089902149125;0;1;500000;0;1;0;164;10;0;108;30;
109;157,836925955783;5,61268096628731;5,11547619047619;1;3;46;40;24;29;40;6;2;2;859,4;5,11547619047619;104559,465290702;157,836925955783;1;0;250000;0;0;1;179;10;0;109;26;
110;19,9759896019047;5,6010141057863;4,96130952380952;1;3;5;49;35;22;2;4;2;1;833,5;4,96130952380952;14465,3855167949;19,9759896019047;1;0;500000;0;0;1;113;10;0;110;13;
111;131,785670892374;6,97310063980037;4,77380952380952;1;2;28;34;40;4;23;5;1;2;802;4,77380952380952;94549,470034403;131,785670892374;1;0;500000;0;1;0;129;10;0;111;30;
112;151,006920341084;7,72604231407257;4,76964285714286;2;2;36;42;40;4;29;5;1;1;801,3;4,76964285714286;107316,4032079;151,006920341084;0;1;500000;0;1;0;151;10;0;112;32;
113;42,6512287974187;5,71881991804856;5,06071428571429;2;3;11;49;13;2;18;4;2;2;850,2;5,06071428571429;30297,523833612;42,6512287974187;0;1;500000;0;0;1;93;10;0;113;23;
114;113,897788712256;7,30136447128042;4,725;1;2;25;12;46;44;23;5;1;2;793,8;4,725;83566,1726729548;113,897788712256;1;0;500000;0;1;0;150;10;0;114;34;
115;72,3394983951876;5,81228078981058;4,07619047619047;2;3;43;33;1;28;21;3;2;1;684,8;4,07619047619047;63950,4378100655;72,3394983951876;0;1;250000;0;0;1;126;10;0;115;28;
116;21,359369814621;10,9180888590783;2,50416666666667;2;2;15;47;44;28;1;2;2;1;420,7;2,50416666666667;30617,0932784602;21,359369814621;0;1;500000;0;1;0;135;10;0;116;50;
117;43,4694813509698;6,39898258603317;3,76547619047619;2;2;25;33;4;32;9;3;2;2;632,6;3,76547619047619;41349,7680677914;43,4694813509698;0;1;250000;0;1;0;103;10;0;117;26;
118;28,7368403586731;8,27062386908;2,56488095238095;1;3;3;18;35;22;20;2;1;1;430,9;2,56488095238095;40282,5561544404;28,7368403586731;1;0;500000;0;0;1;98;10;0;118;36;
119;40,7512423118262;16,9199618369884;1,28095238095238;2;3;5;27;35;16;33;1;1;2;215,2;1,28095238095238;113315,802771586;40,7512423118262;0;1;500000;0;0;1;116;10;0;119;58;
120;70,2071085266645;16,4710248200899;1,28571428571429;1;2;43;12;14;25;23;1;1;2;216;1,28571428571429;185841,166991091;70,2071085266645;1;0;500000;0;1;0;117;10;0;120;55;
121;99,560508592802;5,42843169968877;5,55178571428572;1;3;13;25;46;4;16;5;1;1;932,7;5,55178571428572;62105,9021858856;99,560508592802;1;0;500000;0;0;1;104;10;0;121;13;
122;100,008680436341;6,75756183049567;4,72678571428572;2;2;25;49;8;4;29;4;2;2;794,1;4,72678571428572;72905,495154309;100,008680436341;0;1;500000;0;1;0;115;10;0;122;32;
123;80,6470874760634;5,97127735396596;5,06607142857143;2;3;30;33;13;2;38;4;1;2;851,1;5,06607142857143;57139,6173232581;80,6470874760634;0;1;500000;0;0;1;116;10;0;123;26;
124;42,0214678976761;6,92772656117522;3,80476190476191;1;3;15;36;36;32;19;3;1;1;639,2;3,80476190476191;39700,3887874744;42,0214678976761;1;0;500000;0;0;1;138;10;0;124;25;
125;53,4723260675272;6,75446231538591;3,92261904761905;2;2;30;22;44;35;14;3;2;1;659;3,92261904761905;49105,0576905621;53,4723260675272;0;1;250000;0;1;0;145;10;0;125;28;
126;37,1411749399138;14,5880480606223;1,26666666666667;2;1;14;18;27;1;20;1;1;1;212,8;1,26666666666667;104664,764054941;37,1411749399138;0;1;500000;1;0;0;80;10;0;126;56;
127;19,7448763980055;9,33852857482833;2,53511904761905;1;3;3;32;49;46;11;2;2;2;425,9;2,53511904761905;28176,7025122171;19,7448763980055;1;0;500000;0;0;1;141;10;0;127;46;
128;51,586789411571;9,60682707666965;2,54761904761905;2;2;25;18;1;20;21;2;1;2;428;2,54761904761905;72742,6328703877;51,586789411571;0;1;500000;0;1;0;85;10;0;128;40;
129;32,6071787931216;6,09797126961949;3,65178571428571;1;2;16;41;19;28;7;3;2;1;613,5;3,65178571428571;32135,6906658326;32,6071787931216;1;0;250000;0;1;0;111;10;0;129;21;
130;56,1411580999999;7,32627031158157;3,8172619047619;2;3;30;25;3;49;19;3;1;2;641,3;3,8172619047619;52949,5019408406;56,1411580999999;0;1;500000;0;0;1;126;10;0;130;30;
131;29,1528154615305;19,3653464127463;1,25773809523809;2;2;5;36;36;35;21;1;1;1;211,3;1,25773809523809;83298,8892571536;29,1528154615305;0;1;500000;0;1;0;133;10;0;131;58;
