Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50113;67.752;3109.36792;26667.52539;54.35496288;887;100;33;99;0.126932515;-0.183159522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.752;3109.36792;26667.52539;54.35496288;0;1;0
50115;66.504;3563.60791;26325.25977;54.35496288;931;100;42;99;0.226671345;-0.26123418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.504;3563.60791;26325.25977;54.35496288;0;1;0
50116;79.056;1706.643188;23284.08594;54.35496288;496;100;42;100;0.361217324;-0.269032843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79.056;1706.643188;23284.08594;54.35496288;0;1;0
50118;116.424;777.3527222;21540.70508;54.35496288;283;100;11;96;0.361217324;-0.285152019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.424;777.3527222;21540.70508;54.35496288;0;1;0
50119;70.824;2558.322754;24658.42969;54.35496288;713;100;42;100;0.29691943;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.824;2558.322754;24658.42969;54.35496288;0;1;0
50123;67.104;3237.548096;26257.75195;54.35496288;850;100;43;100;0.203685081;-0.188128274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.104;3237.548096;26257.75195;54.35496288;0;1;0
50124;68.328;3304.258301;25356.05078;54.35496288;785;100;60;93;0.327905361;-0.292455544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.328;3304.258301;25356.05078;54.35496288;0;1;0
50127;106.008;888.6223755;21742.7168;54.35496288;325;100;10;99;0.350583251;-0.292271915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.008;888.6223755;21742.7168;54.35496288;0;1;0
50128;67.896;3557.737549;25567.87109;54.35496288;749;99;100;99;0.230034023;-0.284641749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.896;3557.737549;25567.87109;54.35496288;0;1;0
50132;63.984;4941.444824;27144.91406;54.35496288;979;100;99;97;0.297487284;-0.244762971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.984;4941.444824;27144.91406;54.35496288;0;1;0
